Timestamp,Temperature (°C),Humidity (%),lpg,co,smoke
2024-10-08 17:49:24.638,27.0,35.0,7.93,132.91,0.63
2024-10-08 17:49:30.992,27.0,35.0,0.88,222.36,52.64
2024-10-08 17:49:37.321,27.0,35.0,0.14,0.06,0.64
2024-10-08 17:49:43.635,27.0,35.0,7.54,138.77,0.64
2024-10-08 17:49:50.062,27.0,35.0,0.05,0.38,0.15
2024-10-08 17:49:56.492,27.0,35.0,1.17,62.56,48.99
2024-10-08 17:50:02.850,27.0,35.0,0.23,0.53,66.01
2024-10-08 17:50:09.208,27.0,36.0,0.07,0.44,0.73
2024-10-08 17:50:15.689,26.9,36.0,29.26,1855.86,8.41
2024-10-08 17:50:22.093,27.0,37.0,44.18,1467.07,597.94
2024-10-08 17:50:28.493,27.0,36.0,2.19,673.59,359.6
2024-10-08 17:50:34.909,27.0,36.0,0.09,0.66,1.07
2024-10-08 17:50:41.332,27.0,35.0,30.96,0.64,1.1
2024-10-08 17:50:47.694,27.0,35.0,7.97,190.82,134.7
2024-10-08 17:50:54.094,27.0,35.0,0.98,7.74,134.92
2024-10-08 17:51:00.675,27.1,35.0,0.17,0.09,0.71
2024-10-08 17:51:06.045,27.1,35.0,9.61,236.5,118.05
2024-10-08 17:51:13.338,27.1,35.0,7.44,300.14,0.31
2024-10-08 17:51:19.704,27.1,35.0,0.87,3.49,3.95
2024-10-08 17:51:25.984,27.0,35.0,12.76,297.96,0.61
2024-10-08 17:51:32.276,27.1,35.0,9.67,0.42,0.14
2024-10-08 17:51:38.687,27.0,35.0,0.66,139.77,46.2
2024-10-08 17:51:45.100,27.1,34.0,0.13,0.07,2.71
2024-10-08 17:51:51.393,27.1,34.0,0.06,4.2,32.99
2024-10-08 17:51:57.709,27.0,35.0,0.14,0.07,0.6
2024-10-08 17:52:04.074,27.0,35.0,7.68,0.35,0.61
2024-10-08 17:52:10.440,27.0,35.0,0.05,0.4,42.67
2024-10-08 17:52:16.784,27.1,35.0,0.05,95.1,44.34
2024-10-08 17:52:23.119,27.1,34.0,12.01,0.5,0.64
2024-10-08 17:52:29.480,27.0,35.0,1.49,217.74,97.88
2024-10-08 17:52:35.845,27.1,35.0,0.08,0.66,0.31
2024-10-08 17:52:42.275,27.0,35.0,2506.14,250852.45,5.84
2024-10-08 17:52:48.558,27.1,36.0,0.25,6.71,0.78
2024-10-08 17:52:54.860,27.1,36.0,8.26,0.61,4.95
2024-10-08 17:53:01.219,27.1,36.0,126.32,106413.94,4.51
2024-10-08 17:53:07.572,27.1,35.0,209.28,30552.68,942.69
2024-10-08 17:53:13.910,27.1,35.0,152.28,2.13,2.98
2024-10-08 17:53:20.267,27.1,35.0,163.2,8816.29,21.7
2024-10-08 17:53:26.606,27.1,35.0,70.86,0.21,2.16
2024-10-08 17:53:32.967,27.1,35.0,125.41,11782.3,1752.76
2024-10-08 17:53:39.282,27.1,35.0,0.58,0.44,5795.04
2024-10-08 17:53:45.573,27.1,34.0,0.2,66.52,6595.36
2024-10-08 17:53:51.897,27.1,34.0,10.65,0.66,5.98
2024-10-08 17:53:58.185,27.1,34.0,0.25,5.7,0.71
2024-10-08 17:54:04.496,27.1,34.0,395.94,1.65,3.18
2024-10-08 17:54:10.869,27.1,34.0,0.18,3.79,26.04
2024-10-08 17:54:23.367,27.1,34.0,0.18,3.13,2.65
2024-10-08 17:54:29.674,27.1,34.0,0.42,0.32,3.15
2024-10-08 17:54:35.977,27.1,34.0,0.14,1.71,2.06
2024-10-08 17:54:42.383,27.1,34.0,86.68,0.19,1.92
2024-10-08 17:54:48.953,27.1,34.0,0.18,12572.9,1820.99
2024-10-08 17:54:55.419,27.1,34.0,0.19,2.09,2.72
2024-10-08 17:55:01.870,27.0,34.0,0.14,2.11,2.66
2024-10-08 17:55:08.152,27.1,34.0,125.18,3939.89,1253.63
2024-10-08 17:55:14.551,27.0,34.0,6.69,13930.5,1563.59
2024-10-08 17:55:20.847,27.1,34.0,98.27,3407.54,19.68
2024-10-08 17:55:27.245,27.0,34.0,90.55,5573.35,13.95
2024-10-08 17:55:33.596,27.1,34.0,5.54,4479.93,435.39
2024-10-08 17:55:39.967,27.0,34.0,0.12,1.34,0.37
2024-10-08 17:55:46.296,27.0,34.0,0.51,2746.07,454.32
2024-10-08 17:55:52.597,27.0,34.0,0.28,3922.96,256.46
2024-10-08 17:55:58.886,27.1,34.0,2.93,1800.15,12.5
2024-10-08 17:56:05.193,27.0,34.0,0.25,690.74,307.73
2024-10-08 17:56:11.576,27.0,34.0,57.16,0.16,1.31
2024-10-08 17:56:17.969,27.1,34.0,0.1,1.07,1.72
2024-10-08 17:56:24.289,27.0,34.0,0.23,1097.17,300.64
2024-10-08 17:56:30.662,27.0,34.0,0.36,703.53,1.23
2024-10-08 17:56:37.078,27.0,34.0,29.34,13.55,1.15
2024-10-08 17:56:43.417,27.0,34.0,0.25,0.13,1.04
2024-10-08 17:56:49.779,27.0,34.0,26.33,1297.61,0.81
2024-10-08 17:56:56.132,27.0,33.0,1.05,616.27,7.19
2024-10-08 17:57:02.481,26.9,33.0,2.21,1626.83,494.08
2024-10-08 17:57:08.834,26.9,33.0,0.64,1303.07,295.1
2024-10-08 17:57:15.290,26.9,34.0,0.11,0.81,366.64
2024-10-08 17:57:21.628,26.9,34.0,33.05,886.03,14.37
2024-10-08 17:57:27.926,26.9,34.0,29.61,2045.93,7.38
2024-10-08 17:57:34.222,27.0,34.0,26.01,1950.07,8.92
2024-10-08 17:57:40.558,26.9,34.0,0.25,0.14,1.16
2024-10-08 17:57:46.920,27.0,34.0,25.52,1048.67,10.02
2024-10-08 17:57:53.275,27.0,34.0,0.35,7.67,6.99
2024-10-08 17:57:59.711,26.9,33.0,25.01,0.13,0.96
2024-10-08 17:58:05.016,27.0,33.0,24.59,977.2,1.0
2024-10-08 17:58:12.423,27.0,34.0,20.7,10.46,154.54
2024-10-08 17:58:19.483,27.0,33.0,0.99,7.19,4.11
2024-10-08 17:58:25.924,26.9,33.0,23.2,0.12,1.25
2024-10-08 17:58:32.272,27.0,33.0,0.91,0.12,1.0
2024-10-08 17:58:38.563,26.9,33.0,0.08,0.62,0.23
2024-10-08 17:58:44.860,27.0,33.0,0.18,0.1,1.11
2024-10-08 17:58:51.413,27.0,33.0,0.22,0.1,1.0
2024-10-08 17:58:57.735,26.9,33.0,0.53,5.92,5.28
2024-10-08 17:59:04.638,26.9,33.0,13.22,7.6,1.06
2024-10-08 17:59:11.184,27.0,33.0,0.14,0.09,0.76
2024-10-08 17:59:17.529,26.9,33.0,0.17,0.09,0.8
2024-10-08 17:59:23.829,26.9,33.0,0.05,0.64,0.17
